REGIONS,DIVISION,GROUP OF STATES,TYPEHUQ,Climate_Region_Pub,YEARMADERANGE,NHSLDMEM,NUMFRIG,TVCOLOR,EMPLOYHH,SPOUSE,KWH TOTAL,KWH HEAT,KWH AIRCON,KWH WATER HEAT,KWH REFRIDGE,KWH OTHER,DOLLAR TOTAL,DOLLAR HEAT,DOLLAR AIRCON,DOLLAR WATER,DOLLAR REFRIDGE,DOLLAR OTHER
3,7,21,3,3,5,1,2,3,0,0,8537,727.943,3902.328,750.895,678.671,2477.163,940,80.153,429.681,82.68,74.728,272.758
4,8,22,1,1,3,1,1,2,0,0,3658,0,0,0,836.852,2821.148,402,0,0,0,91.967,310.033
3,5,17,1,3,5,4,1,4,0,1,24166,2673.703,0,4671.399,1298.401,15522.497,3040,336.343,0,587.646,163.334,1952.677
2,3,6,2,4,8,2,3,6,0,1,24698,3768.342,0,5197.776,1785.978,13945.904,2784,424.774,0,585.902,201.318,1572.006
1,2,5,3,4,1,4,1,3,0,1,5876,0,267.4,0,940.493,4668.107,682,0,31.036,0,109.159,541.806
4,9,24,5,2,4,2,1,2,0,1,11579,0,4658.532,0,1308.47,5611.998,1583,0,636.882,0,178.885,767.233
2,4,11,5,1,7,1,1,2,0,0,4641,1642.347,207.136,846.306,428.3,1516.911,513,181.539,22.896,93.548,47.343,167.674
2,4,10,2,1,7,4,2,3,1,1,12658,543.239,186.697,0,1713.445,10214.62,1197,51.371,17.655,0,162.031,965.942
3,7,20,2,3,4,1,1,2,1,0,11797,1888.246,1676.457,1534.503,1217.955,5479.84,986,157.821,140.119,128.255,101.797,458.008
3,7,21,2,3,1,1,1,3,0,0,10928,0,4200.063,0,1113.735,5614.202,1353,0,520.011,0,137.892,695.097
1,2,3,5,1,3,3,1,2,2,0,4150,0,0,0,806.023,3343.977,712,0,0,0,138.286,573.714
3,7,21,2,3,5,2,2,1,0,1,28797,0,6318.458,0,4241.673,18236.868,3127,0,686.107,0,460.594,1980.3
1,2,4,2,4,2,2,1,2,0,1,4647,0,720.255,0,453.639,3473.106,758,0,117.485,0,73.996,566.519
3,5,16,1,4,4,5,1,1,0,0,28058,829.369,2236.642,8323.943,1749.482,14918.564,3658,108.127,291.597,1085.216,228.085,1944.975
4,10,26,5,5,5,3,1,2,2,1,5649,0,323.005,0,1072.289,4253.706,510,0,29.161,0,96.808,384.031
3,5,16,2,4,7,3,1,6,1,1,13559,0,4847.838,0,906.948,7804.213,1355,0,484.462,0,90.635,779.903
3,7,21,2,3,4,2,2,4,0,1,14598,0,3370.786,0,3561.311,7665.903,1808,0,417.481,0,441.078,949.442
3,5,16,2,4,2,3,1,2,0,0,14943,348.002,4083.348,2442.496,715.969,7353.185,1634,38.054,446.509,267.084,78.29,804.062
2,4,11,2,4,2,2,1,3,1,0,7089,0,1527.387,0,1050.333,4511.28,823,0,177.323,0,121.939,523.739
1,2,4,2,1,2,1,1,1,0,0,3977,0,0,0,858.861,3118.139,649,0,0,0,140.156,508.844
3,6,18,2,3,7,2,2,3,1,1,19055,1309.034,7491.574,0,2645.961,7608.431,2259,155.188,888.138,0,313.683,901.991
3,5,13,2,4,8,1,1,1,1,0,1790,0,236.502,0,628.79,924.708,294,0,38.844,0,103.276,151.879
3,5,15,5,4,5,3,1,2,2,0,13374,2738.391,1039.014,2894.942,619.099,6082.554,1407,288.09,109.309,304.56,65.132,639.91
2,3,8,2,1,1,4,1,2,1,0,8501,0,400.394,0,1534.384,6566.222,580,0,27.318,0,104.687,447.995
3,5,14,5,4,3,3,1,3,0,1,9630,3751.857,1183.995,0,1054.617,3639.531,1440,561.025,177.046,0,157.7,544.229
3,7,20,2,4,3,2,2,4,0,1,11481,0,1968.161,0,2094.332,7418.507,1161,0,199.027,0,211.786,750.186
1,2,4,5,4,4,2,1,1,1,1,7852,0,720.65,3573.445,1221.679,2336.226,1281,0,117.569,582.983,199.309,381.139
2,4,10,2,1,5,2,1,3,0,1,5160,0,242.763,1210.179,582.539,3124.519,524,0,24.653,122.894,59.157,317.296
3,7,21,4,3,7,3,1,2,0,1,15459,2805.166,0,3922.807,821.696,7909.331,1540,279.446,0,390.784,81.856,787.915
3,5,14,2,4,4,2,1,3,0,1,10802,446.236,1356.344,2073.542,1061.365,5864.513,960,39.658,120.542,184.281,94.326,521.194
2,4,10,2,1,1,3,1,2,1,1,3386,334.864,0,0,542.291,2508.845,526,52.018,0,0,84.24,389.724
3,5,15,2,4,1,3,1,3,0,0,18196,2633.865,2023.112,2188.129,1232.035,10118.859,1501,217.269,166.888,180.5,101.631,834.711
1,1,1,5,1,1,4,1,3,0,1,7770,3365.249,107.573,0,797.938,3499.24,1582,685.177,21.902,0,162.463,712.458
4,10,27,2,1,1,3,1,1,2,0,15351,852.385,0,4566.847,1334.819,8596.949,1110,61.634,0,330.22,96.518,621.628
4,10,27,2,1,7,4,2,4,1,1,13161,0,1164.252,0,2242.308,9754.44,934,0,82.624,0,159.13,692.246
1,2,3,2,1,2,1,1,3,1,0,3260,0,56.401,0,422.852,2780.747,516,0,8.927,0,66.93,440.143
3,7,21,2,3,5,9,1,4,1,1,29395,3395.793,4851.588,6363.119,1684.223,13100.277,3412,394.164,563.144,738.594,195.495,1520.604
1,2,3,5,4,3,1,1,1,1,0,3437,0,0,0,1342.514,2094.486,590,0,0,0,230.458,359.542
4,8,23,2,1,2,5,2,3,1,1,31247,1060.613,0,7725.334,5082.263,17378.79,2445,82.99,0,604.488,397.674,1359.847
3,7,21,2,3,1,4,1,4,2,0,11247,0,4891.908,0,1017.442,5337.651,1689,0,734.634,0,152.793,801.573
2,4,12,4,4,7,3,1,3,1,1,16164,3881.673,494.735,2921.937,1174.521,7691.134,1448,347.727,44.319,261.752,105.216,688.986
2,4,12,2,4,2,1,1,3,0,0,7060,413.523,1881.953,0,787.227,3977.296,609,35.671,162.338,0,67.907,343.084
1,1,2,2,1,6,9,2,6,1,1,10156,0,0,0,936.847,9219.153,1586,0,0,0,146.302,1439.698
4,8,22,2,1,4,5,1,1,1,1,5780,0,94.32,0,862.787,4822.893,639,0,10.427,0,95.384,533.188
2,3,7,2,1,2,3,1,2,0,0,10805,0,0,0,1730.151,9074.849,1296,0,0,0,207.522,1088.478
3,5,16,2,4,3,2,1,4,0,1,10013,2668.766,1245.009,0,723.723,5375.502,920,245.208,114.392,0,66.496,493.904
3,5,14,2,1,2,1,1,0,0,0,11162,0,99.254,3040.014,1354.332,6668.4,935,0,8.314,254.651,113.447,558.588
1,1,1,2,1,2,4,2,6,1,1,12528,0,0,2587.598,2128.842,7811.56,2688,0,0,555.193,456.763,1676.044
2,3,6,2,1,3,1,1,4,0,0,4750,0,342.417,0,449.363,3958.219,625,0,45.068,0,59.144,520.972
4,8,23,2,1,3,3,1,2,1,1,5203,0,0,0,845.064,4357.936,463,0,0,0,75.2,387.8
4,10,26,2,2,2,3,2,1,0,1,18944,0,4738.865,0,1505.146,12699.988,2758,0,689.917,0,219.13,1848.953
3,7,21,2,3,5,4,4,4,1,1,30143,1467.439,12341.817,3292.222,2650.406,10391.116,4471,217.66,1830.616,488.323,393.125,1541.276
4,10,26,5,2,2,1,1,1,0,0,1719,459.285,65.645,499.207,185.069,509.794,81,21.642,3.093,23.523,8.721,24.022
2,3,7,2,1,3,2,1,1,2,0,2163,0,0,0,210.356,1952.644,285,0,0,0,27.717,257.283
3,7,21,5,3,3,2,1,1,2,1,9381,2110.55,1125.956,2443.46,1320.939,2380.095,1162,261.428,139.469,302.665,163.621,294.816
4,9,24,2,2,4,5,1,2,2,1,13127,0,5472.258,0,1321.442,6333.301,1820,0,758.704,0,183.212,878.084
3,5,16,2,3,6,4,1,5,1,1,20510,2630.963,2714.9,3327.523,868.541,10968.073,2379,305.171,314.907,385.967,100.744,1272.211
4,10,26,3,2,8,3,1,2,1,1,6994,0,579.066,0,1400.918,5014.017,657,0,54.396,0,131.599,471.005
